home,home_abb,home_seed,home_score,away,away_abb,away_seed,away_score,location,innings,date,year,home_conf,away_conf
Troy,TROY,NA,9,New Orleans,UNO,NA,6,NA,9,2016-04-02,2016,Sun Belt,Southland
Fordham,FORD,NA,6,Richmond,RICH,NA,7,NA,9,2016-04-02,2016,Atlantic 10,Atlantic 10
Texas Tech,TTU,NA,10,Kansas St.,KSU,NA,4,NA,9,2016-04-02,2016,Big 12,Big 12
Abilene Christian,ACU,NA,6,Lamar University,LAM,NA,16,NA,9,2016-04-02,2016,Southland,Southland
Seton Hall,SET,NA,4,Quinnipiac,QUIN,NA,1,NA,9,2016-04-02,2016,Big East,MAAC
Penn St.,PSU,NA,7,Purdue,PUR,NA,6,NA,12,2016-04-02,2016,Big Ten,Big Ten
Auburn,AUB,NA,6,LSU,LSU,NA,8,NA,9,2016-04-02,2016,SEC,SEC
Ga. Southern,GASO,NA,3,Texas St.,TXST,NA,7,NA,9,2016-04-02,2016,Sun Belt,Sun Belt
South Alabama,SAU,NA,10,La.-Monroe,ULM,NA,4,NA,9,2016-04-02,2016,Sun Belt,Sun Belt
Georgia St.,GAST,NA,16,UT Arlington,UTA,NA,18,NA,10,2016-04-02,2016,Sun Belt,Sun Belt
UAB,UAB,NA,1,Western Ky.,WKU,NA,2,NA,9,2016-04-02,2016,C-USA,C-USA
Winthrop,WIN,NA,6,Liberty,LIB,NA,5,NA,9,2016-04-03,2016,Big South,Big South
Georgia St.,GAST,NA,8,UT Arlington,UTA,NA,7,NA,9,2016-04-03,2016,Sun Belt,Sun Belt
Northwestern,NW,NA,9,Michigan,UM,NA,11,NA,9,2016-04-03,2016,Big Ten,Big Ten
San Diego,USD,NA,5,NA,NA,NA,8,NA,9,2016-04-03,2016,WCC,NA
Sam Houston St.,SHSU,NA,9,Central Ark.,UCA,NA,7,NA,9,2016-04-03,2016,Southland,Southland
UTRGV,UTRG,NA,3,New Mexico St.,NMST,NA,7,NA,9,2016-04-03,2016,WAC,WAC
Kennesaw St.,KENN,NA,2,North Florida,UNF,NA,9,NA,9,2016-04-03,2016,ASUN,ASUN
Elon,ELON,NA,6,Col. of Charleston,COC,NA,11,NA,9,2016-04-03,2016,CAA,CAA
Nebraska,NEB,NA,9,Illinois,ILL,NA,7,NA,9,2016-04-03,2016,Big Ten,Big Ten
Charlotte,CHAR,NA,6,Southern Miss.,USM,NA,16,NA,8,2016-04-03,2016,C-USA,C-USA
Towson,TOW,NA,4,Hofstra,HOF,NA,2,NA,9,2016-04-03,2016,CAA,CAA
New Mexico,NMU,NA,5,UNLV,UNLV,NA,6,NA,9,2016-04-03,2016,MWC,MWC
Eastern Ky.,EKU,NA,2,Morehead St.,MRST,NA,16,NA,9,2016-04-03,2016,OVC,OVC
Stanford,STAN,NA,8,Southern California,USC,NA,1,NA,9,2016-04-03,2016,Pac-12,Pac-12
Old Dominion,ODU,NA,0,Fla. Atlantic,FAU,NA,11,NA,8,2016-04-03,2016,C-USA,C-USA
Louisville,UL,NA,13,Virginia Tech,VTU,NA,0,NA,9,2016-04-03,2016,ACC,ACC
Utah Valley,UVU,NA,3,North Dakota St.,NDSU,NA,4,NA,9,2016-04-03,2016,WAC,Summit League
Wichita St.,WICH,NA,5,TCU,TCU,NA,12,NA,9,2016-04-03,2016,MVC,Big 12
Memphis,MEM,NA,1,UCF,UCF,NA,7,NA,9,2016-04-03,2016,AAC,AAC
UC Riverside,UCR,NA,12,UC Davis,UCD,NA,13,NA,9,2016-04-03,2016,Big West,Big West
Charleston So.,CHSO,NA,2,Longwood,LU,NA,6,NA,9,2016-04-03,2016,Big South,Big South
Delaware,DEL,NA,12,James Madison,JMU,NA,14,NA,9,2016-04-03,2016,CAA,CAA
William & Mary,WM,NA,16,Georgetown,GTWN,NA,2,NA,9,2016-04-03,2016,CAA,Big East
Fresno St.,FRES,NA,5,Air Force,AFA,NA,1,NA,9,2016-04-03,2016,MWC,MWC
Wofford,WOF,NA,3,Western Caro.,WCU,NA,12,NA,9,2016-04-03,2016,SoCon,SoCon
Southeastern La.,SELA,NA,15,Nicholls St.,NIST,NA,2,NA,7,2016-04-03,2016,Southland,Southland
DBU,DBU,NA,9,Lipscomb,LIP,NA,1,NA,9,2016-04-03,2016,MVC,ASUN
ETSU,ETSU,NA,13,Furman,FURM,NA,9,NA,9,2016-04-03,2016,SoCon,SoCon
Pepperdine,PEPP,NA,1,San Francisco,SF,NA,3,NA,9,2016-04-03,2016,WCC,WCC
Cal St. Fullerton,CSF,NA,8,CSUN,CSUN,NA,5,NA,9,2016-04-03,2016,Big West,Big West
McNeese,MCNS,NA,7,Northwestern St.,NWST,NA,8,NA,10,2016-04-03,2016,Southland,Southland
Arkansas St.,ARST,NA,1,Louisiana,ULL,NA,6,NA,9,2016-04-03,2016,Sun Belt,Sun Belt
George Washington,GWU,NA,3,La Salle,LS,NA,6,NA,9,2016-04-03,2016,Atlantic 10,Atlantic 10
UTSA,UTSA,NA,4,FIU,FIU,NA,8,NA,9,2016-04-03,2016,C-USA,C-USA
Samford,SAMF,NA,3,Mercer,MER,NA,1,NA,9,2016-04-03,2016,SoCon,SoCon
South Alabama,SAU,NA,12,La.-Monroe,ULM,NA,2,NA,8,2016-04-03,2016,Sun Belt,Sun Belt
CSU Bakersfield,CSUB,NA,6,Grand Canyon,GCU,NA,9,NA,9,2016-04-03,2016,WAC,WAC
Southeast Mo. St.,SEMO,NA,20,SIUE,SIUE,NA,11,NA,9,2016-04-03,2016,OVC,OVC
Southern U.,SOU,NA,5,Texas Southern,TSU,NA,6,NA,9,2016-04-03,2016,SWAC,SWAC
Ark.-Pine Bluff,ARPB,NA,8,Grambling,GSU,NA,7,NA,9,2016-04-03,2016,SWAC,SWAC
Wright St.,WRST,NA,4,Northern Ky.,NKU,NA,3,NA,9,2016-04-03,2016,Horizon,Horizon
Cal Poly,CP,NA,7,San Jose St.,SJSU,NA,9,NA,9,2016-04-03,2016,Big West,MWC
Prairie View,PV,NA,20,NA,NA,NA,10,NA,9,2016-04-03,2016,SWAC,NA
Santa Clara,SCU,NA,13,Saint Mary's (CA),SMC,NA,9,NA,9,2016-04-03,2016,WCC,WCC
Sacramento St.,SAC,NA,6,Northern Colo.,UNCO,NA,3,NA,9,2016-04-03,2016,WAC,WAC
California,CAL,NA,5,UCLA,UCLA,NA,3,NA,9,2016-04-03,2016,Pac-12,Pac-12
Clemson,CLEM,NA,4,Pittsburgh,PITT,NA,3,NA,9,2016-04-03,2016,ACC,ACC
Abilene Christian,ACU,NA,5,Lamar University,LAM,NA,7,NA,9,2016-04-03,2016,Southland,Southland
Hawaii,HAW,NA,4,UC Irvine,UCI,NA,14,NA,9,2016-04-03,2016,Big West,Big West
Marshall,MRSH,NA,10,Louisiana Tech,LTU,NA,4,NA,9,2016-04-03,2016,C-USA,C-USA
Houston Baptist,HBU,NA,2,NA,NA,NA,0,NA,9,2016-04-03,2016,Southland,NA
Omaha,OMA,NA,2,Western Ill.,WIU,NA,10,NA,9,2016-04-03,2016,Summit League,Summit League
Radford,RAD,NA,2,Campbell,CAMP,NA,1,NA,9,2016-04-03,2016,Big South,Big South
Georgia Tech,GT,NA,4,Duke,DUKE,NA,10,NA,9,2016-04-03,2016,ACC,ACC
West Virginia,WVU,NA,1,Oklahoma St.,OKST,NA,8,NA,9,2016-04-03,2016,Big 12,Big 12
Florida A&M,FAMU,NA,6,N.C. Central,NCCU,NA,4,NA,9,2016-04-03,2016,MEAC,MEAC
Texas Tech,TTU,NA,6,Kansas St.,KSU,NA,5,NA,9,2016-04-03,2016,Big 12,Big 12
Cincinnati,UC,NA,4,South Fla.,USF,NA,3,NA,14,2016-04-03,2016,AAC,AAC
Oklahoma,OU,NA,4,Texas,UT,NA,3,NA,9,2016-04-03,2016,Big 12,Big 12
Miami (FL),MIAM,NA,7,North Carolina,UNC,NA,4,NA,9,2016-04-03,2016,ACC,ACC
Murray St.,MUR,NA,3,Eastern Ill.,EIU,NA,9,NA,9,2016-04-03,2016,OVC,OVC
East Carolina,ECU,NA,1,Houston,UH,NA,6,NA,9,2016-04-03,2016,AAC,AAC
Maryland,UMD,NA,3,High Point,HPU,NA,4,NA,9,2016-04-03,2016,Big Ten,Big South
Pacific,PAC,NA,5,Gonzaga,GU,NA,10,NA,9,2016-04-03,2016,WCC,WCC
Florida,UF,NA,10,Texas A&M,TAMU,NA,7,NA,9,2016-04-03,2016,SEC,SEC
Virginia,UVA,NA,2,NC State,NCST,NA,5,NA,9,2016-04-03,2016,ACC,ACC
UNC Greensboro,UNCG,NA,6,VMI,VMI,NA,1,NA,9,2016-04-03,2016,SoCon,SoCon
Saint Louis,SLU,NA,3,George Mason,GMU,NA,2,NA,9,2016-04-03,2016,Atlantic 10,Atlantic 10
Delaware St.,DEST,NA,5,UMES,UMES,NA,14,NA,9,2016-04-03,2016,MEAC,MEAC
Tennessee,TENN,NA,2,Kentucky,UK,NA,10,NA,9,2016-04-03,2016,SEC,SEC
Coppin St.,COPP,NA,11,Norfolk St.,NORF,NA,7,NA,9,2016-04-03,2016,MEAC,MEAC
UAB,UAB,NA,5,Western Ky.,WKU,NA,6,NA,10,2016-04-03,2016,C-USA,C-USA
Ball St.,BSU,NA,20,Ohio,OHIO,NA,3,NA,9,2016-04-03,2016,MAC,MAC
Mississippi St.,MSST,NA,5,Ole Miss,MISS,NA,8,NA,9,2016-04-03,2016,SEC,SEC
Stetson,STE,NA,11,The Citadel,CIT,NA,5,NA,9,2016-04-03,2016,ASUN,SoCon
Long Beach St.,LBST,NA,2,UC Santa Barbara,UCSB,NA,0,NA,9,2016-04-03,2016,Big West,Big West
Iona,IONA,NA,6,Marist,MAR,NA,7,NA,9,2016-04-03,2016,MAAC,MAAC
Auburn,AUB,NA,5,LSU,LSU,NA,10,NA,9,2016-04-03,2016,SEC,SEC
Tennessee Tech,TNTC,NA,4,Austin Peay,PEAY,NA,9,NA,9,2016-04-03,2016,OVC,OVC
Butler,BUT,NA,1,Indiana St.,INST,NA,6,NA,9,2016-04-03,2016,Big East,MVC
Middle Tenn.,MTU,NA,2,Rice,RICE,NA,6,NA,9,2016-04-03,2016,C-USA,C-USA
Creighton,CREI,NA,2,Jacksonville,JAC,NA,1,NA,9,2016-04-03,2016,Big East,ASUN
Coastal Caro.,CCU,NA,10,Gardner-Webb,GW,NA,6,NA,9,2016-04-03,2016,Big South,Big South
Illinois St.,ILST,NA,5,Xavier,XAV,NA,11,NA,9,2016-04-03,2016,MVC,Big East
Utah,UTAH,NA,4,Arizona,ARIZ,NA,2,NA,9,2016-04-03,2016,Pac-12,Pac-12
Oregon St.,ORST,NA,2,Washington,UW,NA,3,NA,12,2016-04-03,2016,Pac-12,Pac-12
Saint Joseph's,SJU,NA,10,Davidson,DAV,NA,1,NA,9,2016-04-03,2016,Atlantic 10,Atlantic 10
Ohio St.,OSU,NA,13,Bethune-Cookman,BCU,NA,5,NA,9,2016-04-03,2016,Big Ten,MEAC
Kent St.,KENT,NA,13,Western Mich.,WMU,NA,2,NA,9,2016-04-03,2016,MAC,MAC
Saint Peter's,SAIN,NA,0,Niagara,NU,NA,11,NA,9,2016-04-03,2016,MAAC,MAAC
Troy,TROY,NA,9,New Orleans,UNO,NA,4,NA,9,2016-04-03,2016,Sun Belt,Southland
Baylor,BAY,NA,5,Kansas,KU,NA,2,NA,9,2016-04-03,2016,Big 12,Big 12
Savannah St.,SVST,NA,6,N.C. A&T,NCAT,NA,1,NA,9,2016-04-03,2016,MEAC,MEAC
UNC Asheville,UNCA,NA,22,Presbyterian,PRES,NA,9,NA,9,2016-04-03,2016,Big South,Big South
Mississippi Val.,MVSU,NA,9,Jackson St.,JKST,NA,19,NA,8,2016-04-03,2016,SWAC,SWAC
VCU,VCU,NA,5,Dayton,DAY,NA,3,NA,9,2016-04-03,2016,Atlantic 10,Atlantic 10
Southern Ill.,SIU,NA,3,Jacksonville St.,JVST,NA,2,NA,9,2016-04-03,2016,MVC,OVC
Ga. Southern,GASO,NA,3,Texas St.,TXST,NA,4,NA,9,2016-04-03,2016,Sun Belt,Sun Belt
Appalachian St.,APST,NA,8,Little Rock,LR,NA,7,NA,9,2016-04-03,2016,Sun Belt,Sun Belt
SFA,SFA,NA,7,A&M-Corpus Christi,AMCC,NA,6,NA,9,2016-04-03,2016,Southland,Southland
Arkansas,ARK,NA,1,Missouri,MIZ,NA,10,NA,9,2016-04-03,2016,SEC,SEC
Nevada,NEV,NA,7,San Diego St.,SDSU,NA,6,NA,11,2016-04-03,2016,MWC,MWC
Alabama A&M,AAMU,NA,3,Alabama St.,ALST,NA,7,NA,9,2016-04-03,2016,SWAC,SWAC
Mount St. Mary's,MSM,NA,5,UMBC,UMBC,NA,3,NA,9,2016-04-03,2016,NEC,America East
Belmont,BEL,NA,7,UT Martin,UTM,NA,3,NA,9,2016-04-03,2016,OVC,OVC
Penn,PENN,NA,3,Yale,YALE,NA,2,NA,7,2016-04-03,2016,Ivy League,Ivy League
Purdue Fort Wayne,PUFW,NA,3,South Dakota St.,SDST,NA,9,NA,9,2016-04-03,2016,Summit League,Summit League
Bucknell,BUCK,NA,11,Lehigh,LEH,NA,2,NA,7,2016-04-03,2016,Patriot,Patriot
Navy,NAVY,NA,9,Holy Cross,HC,NA,0,NA,7,2016-04-03,2016,Patriot,Patriot
Minnesota,MIN,NA,3,Iowa,IOWA,NA,6,NA,9,2016-04-03,2016,Big Ten,Big Ten
Northern Ill.,NIU,NA,0,Miami (OH),MU,NA,2,NA,9,2016-04-03,2016,MAC,MAC
Princeton,PRIN,NA,4,Harvard,HARV,NA,1,NA,7,2016-04-03,2016,Ivy League,Ivy League
Oral Roberts,ORU,NA,6,North Dakota St.,NDSU,NA,3,NA,9,2016-04-03,2016,Summit League,Summit League
Bowling Green,BG,NA,5,Toledo,TOL,NA,3,NA,9,2016-04-03,2016,MAC,MAC
Notre Dame,ND,NA,13,Wake Forest,WF,NA,15,NA,9,2016-04-03,2016,ACC,ACC
Chicago St.,CSU,NA,1,Seattle U,SEA,NA,14,NA,7,2016-04-03,2016,WAC,WAC
Columbia,COL,NA,7,Brown,BRWN,NA,3,NA,7,2016-04-03,2016,Ivy League,Ivy League
Army West Point,ARMY,NA,2,Lafayette,LC,NA,11,NA,7,2016-04-03,2016,Patriot,Patriot
Milwaukee,MIL,NA,3,Valparaiso,VAL,NA,7,NA,9,2016-04-03,2016,Horizon,Horizon
Oral Roberts,ORU,NA,8,North Dakota St.,NDSU,NA,6,NA,9,2016-04-03,2016,Summit League,Summit League
Minnesota,MIN,NA,6,Iowa,IOWA,NA,3,NA,9,2016-04-03,2016,Big Ten,Big Ten
Bowling Green,BG,NA,7,Toledo,TOL,NA,3,NA,9,2016-04-03,2016,MAC,MAC
Notre Dame,ND,NA,10,Wake Forest,WF,NA,2,NA,6,2016-04-03,2016,ACC,ACC
Chicago St.,CSU,NA,2,Seattle U,SEA,NA,12,NA,7,2016-04-03,2016,WAC,WAC
Columbia,COL,NA,10,Brown,BRWN,NA,2,NA,9,2016-04-03,2016,Ivy League,Ivy League
Army West Point,ARMY,NA,9,Lafayette,LC,NA,3,NA,9,2016-04-03,2016,Patriot,Patriot
Milwaukee,MIL,NA,6,Valparaiso,VAL,NA,5,NA,9,2016-04-03,2016,Horizon,Horizon
Penn,PENN,NA,19,Yale,YALE,NA,3,NA,9,2016-04-03,2016,Ivy League,Ivy League
Purdue Fort Wayne,PUFW,NA,6,South Dakota St.,SDST,NA,10,NA,9,2016-04-03,2016,Summit League,Summit League
Bucknell,BUCK,NA,4,Lehigh,LEH,NA,3,NA,9,2016-04-03,2016,Patriot,Patriot
Navy,NAVY,NA,4,Holy Cross,HC,NA,2,NA,9,2016-04-03,2016,Patriot,Patriot
Northern Ill.,NIU,NA,6,Miami (OH),MU,NA,1,NA,9,2016-04-03,2016,MAC,MAC
Princeton,PRIN,NA,14,Harvard,HARV,NA,5,NA,9,2016-04-03,2016,Ivy League,Ivy League
BYU,BYU,NA,5,Arizona,ARIZ,NA,11,NA,9,2016-04-04,2016,WCC,Pac-12
Louisville,UL,NA,9,Virginia Tech,VTU,NA,3,NA,9,2016-04-04,2016,ACC,ACC
Grand Canyon,GCU,NA,2,UNLV,UNLV,NA,7,NA,9,2016-04-04,2016,WAC,MWC
Monmouth,MON,NA,7,Manhattan,MAN,NA,3,NA,9,2016-04-04,2016,MAAC,MAAC
Charleston So.,CHSO,NA,4,Longwood,LU,NA,13,NA,9,2016-04-04,2016,Big South,Big South
Winthrop,WIN,NA,1,Charlotte,CHAR,NA,7,NA,9,2016-04-05,2016,Big South,C-USA
Jacksonville St.,JVST,NA,11,UAB,UAB,NA,10,NA,9,2016-04-05,2016,OVC,C-USA
North Carolina,UNC,NA,8,High Point,HPU,NA,1,NA,9,2016-04-05,2016,ACC,Big South
Northwestern,NW,NA,0,UIC,UIC,NA,7,NA,9,2016-04-05,2016,Big Ten,Horizon
Davidson,DAV,NA,6,Wake Forest,WF,NA,7,NA,9,2016-04-05,2016,Atlantic 10,ACC
UTRGV,UTRG,NA,4,NA,NA,NA,3,NA,9,2016-04-05,2016,WAC,NA
La.-Monroe,ULM,NA,10,Jackson St.,JKST,NA,7,NA,9,2016-04-05,2016,Sun Belt,SWAC
Elon,ELON,NA,5,East Carolina,ECU,NA,7,NA,11,2016-04-05,2016,CAA,AAC
Nebraska,NEB,NA,2,Kansas St.,KSU,NA,4,NA,9,2016-04-05,2016,Big Ten,Big 12
Liberty,LIB,NA,5,Maryland,UMD,NA,4,NA,9,2016-04-05,2016,Big South,Big Ten
Eastern Ky.,EKU,NA,4,Ohio,OHIO,NA,10,NA,9,2016-04-05,2016,OVC,MAC
UCLA,UCLA,NA,1,CSUN,CSUN,NA,4,NA,9,2016-04-05,2016,Pac-12,Big West
Utah Valley,UVU,NA,10,Utah,UTAH,NA,4,NA,9,2016-04-05,2016,WAC,Pac-12
Missouri St.,MOST,NA,15,Saint Louis,SLU,NA,4,NA,9,2016-04-05,2016,MVC,Atlantic 10
Wichita St.,WICH,NA,15,Oral Roberts,ORU,NA,8,NA,9,2016-04-05,2016,MVC,Summit League
Texas St.,TXST,NA,13,UTSA,UTSA,NA,10,NA,9,2016-04-05,2016,Sun Belt,C-USA
Charleston So.,CHSO,NA,18,The Citadel,CIT,NA,1,NA,7,2016-04-05,2016,Big South,SoCon
Notre Dame,ND,NA,9,Michigan,UM,NA,5,NA,9,2016-04-05,2016,ACC,Big Ten
NA,NA,NA,2,UC Riverside,UCR,NA,1,NA,9,2016-04-05,2016,NA,Big West
ETSU,ETSU,NA,15,N.C. A&T,NCAT,NA,5,NA,9,2016-04-05,2016,SoCon,MEAC
North Florida,UNF,NA,12,Bethune-Cookman,BCU,NA,6,NA,9,2016-04-05,2016,ASUN,MEAC
Cal St. Fullerton,CSF,NA,4,San Diego,USD,NA,2,NA,9,2016-04-05,2016,Big West,WCC
Vanderbilt,VAN,NA,4,Lipscomb,LIP,NA,3,NA,9,2016-04-05,2016,SEC,ASUN
Western Ky.,WKU,NA,6,Evansville,EVAN,NA,5,NA,9,2016-04-05,2016,C-USA,MVC
McNeese,MCNS,NA,4,Houston,UH,NA,1,NA,9,2016-04-05,2016,Southland,AAC
Virginia Tech,VTU,NA,8,William & Mary,WM,NA,12,NA,9,2016-04-05,2016,ACC,CAA
Tulane,TUL,NA,6,Southeastern La.,SELA,NA,7,NA,9,2016-04-05,2016,AAC,Southland
San Diego St.,SDSU,NA,6,Long Beach St.,LBST,NA,5,NA,12,2016-04-05,2016,MWC,Big West
USC Upstate,USCU,NA,9,UNC Asheville,UNCA,NA,3,NA,9,2016-04-05,2016,ASUN,Big South
Southeast Mo. St.,SEMO,NA,4,Arkansas St.,ARST,NA,2,NA,9,2016-04-05,2016,OVC,Sun Belt
NJIT,NJIT,NA,16,Saint Peter's,SAIN,NA,0,NA,9,2016-04-05,2016,ASUN,MAAC
UMBC,UMBC,NA,8,George Washington,GWU,NA,12,NA,9,2016-04-05,2016,America East,Atlantic 10
Valparaiso,VAL,NA,8,Illinois St.,ILST,NA,6,NA,9,2016-04-05,2016,Horizon,MVC
Nevada,NEV,NA,5,Saint Mary's (CA),SMC,NA,8,NA,9,2016-04-05,2016,MWC,WCC
Michigan St.,MSU,NA,2,Eastern Mich.,EMU,NA,4,NA,9,2016-04-05,2016,Big Ten,MAC
Santa Clara,SCU,NA,10,Cal Poly,CP,NA,1,NA,9,2016-04-05,2016,WCC,Big West
UCF,UCF,NA,0,Fla. Atlantic,FAU,NA,5,NA,11,2016-04-05,2016,AAC,C-USA
California,CAL,NA,6,Stanford,STAN,NA,8,NA,9,2016-04-05,2016,Pac-12,Pac-12
Georgetown,GTWN,NA,5,Navy,NAVY,NA,6,NA,9,2016-04-05,2016,Big East,Patriot
LSU,LSU,NA,11,Southern U.,SOU,NA,1,NA,9,2016-04-05,2016,SEC,SWAC
Southern California,USC,NA,6,Pepperdine,PEPP,NA,5,NA,10,2016-04-05,2016,Pac-12,WCC
Radford,RAD,NA,7,VMI,VMI,NA,8,NA,9,2016-04-05,2016,Big South,SoCon
Northern Ky.,NKU,NA,5,Miami (OH),MU,NA,1,NA,9,2016-04-05,2016,Horizon,MAC
Rice,RICE,NA,4,Texas A&M,TAMU,NA,3,NA,9,2016-04-05,2016,C-USA,SEC
Missouri,MIZ,NA,9,SIUE,SIUE,NA,6,NA,9,2016-04-05,2016,SEC,OVC
Marshall,MRSH,NA,4,West Virginia,WVU,NA,5,NA,10,2016-04-05,2016,C-USA,Big 12
Dayton,DAY,NA,3,Butler,BUT,NA,0,NA,9,2016-04-05,2016,Atlantic 10,Big East
Texas,UT,NA,0,A&M-Corpus Christi,AMCC,NA,5,NA,9,2016-04-05,2016,Big 12,Southland
Cincinnati,UC,NA,5,Wright St.,WRST,NA,7,NA,9,2016-04-05,2016,AAC,Horizon
Oklahoma,OU,NA,12,DBU,DBU,NA,2,NA,9,2016-04-05,2016,Big 12,MVC
Penn St.,PSU,NA,7,Pittsburgh,PITT,NA,0,NA,9,2016-04-05,2016,Big Ten,ACC
Central Mich.,CMU,NA,7,NA,NA,NA,4,NA,9,2016-04-05,2016,MAC,NA
Indiana St.,INST,NA,4,Purdue,PUR,NA,1,NA,9,2016-04-05,2016,MVC,Big Ten
Chicago St.,CSU,NA,4,Purdue Fort Wayne,PUFW,NA,5,NA,9,2016-04-05,2016,WAC,Summit League
Pacific,PAC,NA,15,Fresno St.,FRES,NA,6,NA,9,2016-04-05,2016,WCC,MWC
Florida,UF,NA,7,Jacksonville,JAC,NA,2,NA,9,2016-04-05,2016,SEC,ASUN
Bradley,BRAD,NA,6,Western Ill.,WIU,NA,3,NA,9,2016-04-05,2016,MVC,Summit League
Ball St.,BSU,NA,5,Xavier,XAV,NA,4,NA,9,2016-04-05,2016,MAC,Big East
Gonzaga,GU,NA,8,Washington St.,WSU,NA,0,NA,9,2016-04-05,2016,WCC,Pac-12
Duke,DUKE,NA,7,UNC Greensboro,UNCG,NA,4,NA,9,2016-04-05,2016,ACC,SoCon
Northern Colo.,UNCO,NA,4,Air Force,AFA,NA,14,NA,10,2016-04-05,2016,WAC,MWC
South Carolina,SC,NA,4,Coastal Caro.,CCU,NA,2,NA,9,2016-04-05,2016,SEC,Big South
Lamar University,LAM,NA,7,Nicholls St.,NIST,NA,2,NA,9,2016-04-05,2016,Southland,Southland
Grambling,GSU,NA,20,NA,NA,NA,7,NA,9,2016-04-05,2016,SWAC,NA
Georgia,UGA,NA,6,Clemson,CLEM,NA,11,NA,9,2016-04-05,2016,SEC,ACC
Auburn,AUB,NA,7,Georgia St.,GAST,NA,4,NA,9,2016-04-05,2016,SEC,Sun Belt
Middle Tenn.,MTU,NA,6,Austin Peay,PEAY,NA,5,NA,9,2016-04-05,2016,C-USA,OVC
Louisiana,ULL,NA,4,Northwestern St.,NWST,NA,0,NA,9,2016-04-05,2016,Sun Belt,Southland
Alabama St.,ALST,NA,12,South Alabama,SAU,NA,7,NA,9,2016-04-05,2016,SWAC,Sun Belt
Kent St.,KENT,NA,8,Ohio St.,OSU,NA,3,NA,9,2016-04-05,2016,MAC,Big Ten
FGCU,FGCU,NA,0,Miami (FL),MIAM,NA,4,NA,9,2016-04-05,2016,ASUN,ACC
Longwood,LU,NA,4,N.C. Central,NCCU,NA,7,NA,9,2016-04-05,2016,Big South,MEAC
Army West Point,ARMY,NA,5,UMass Lowell,UML,NA,7,NA,9,2016-04-05,2016,Patriot,America East
Troy,TROY,NA,5,Samford,SAMF,NA,3,NA,9,2016-04-05,2016,Sun Belt,SoCon
Illinois,ILL,NA,9,Eastern Ill.,EIU,NA,7,NA,9,2016-04-05,2016,Big Ten,OVC
Baylor,BAY,NA,9,Wofford,WOF,NA,5,NA,9,2016-04-05,2016,Big 12,SoCon
Mississippi Val.,MVSU,NA,1,NA,NA,NA,16,NA,7,2016-04-05,2016,SWAC,NA
VCU,VCU,NA,7,Virginia,UVA,NA,5,NA,9,2016-04-05,2016,Atlantic 10,ACC
Southern Ill.,SIU,NA,11,Belmont,BEL,NA,1,NA,9,2016-04-05,2016,MVC,OVC
SFA,SFA,NA,17,Texas Southern,TSU,NA,3,NA,9,2016-04-05,2016,Southland,SWAC
Col. of Charleston,COC,NA,10,Ga. Southern,GASO,NA,13,NA,9,2016-04-05,2016,CAA,Sun Belt
Kansas,KU,NA,6,NA,NA,NA,1,NA,9,2016-04-05,2016,Big 12,NA
Florida St.,FSU,NA,10,Texas Tech,TTU,NA,1,NA,9,2016-04-05,2016,ACC,Big 12
Stetson,STE,NA,5,South Fla.,USF,NA,1,NA,9,2016-04-05,2016,ASUN,AAC
Appalachian St.,APST,NA,4,Campbell,CAMP,NA,9,"@Holly Springs, N.C.",9,2016-04-05,2016,Sun Belt,Big South
Southern Miss.,USM,NA,2,Ole Miss,MISS,NA,6,"@Pearl, Miss.",9,2016-04-05,2016,C-USA,SEC
New Mexico,NMU,NA,3,New Mexico St.,NMST,NA,2,"@Roswell, N.M.",9,2016-04-05,2016,MWC,WAC
La Salle,LS,NA,2,Delaware,DEL,NA,4,NA,9,2016-04-05,2016,Atlantic 10,CAA
Lafayette,LC,NA,5,Penn,PENN,NA,6,NA,9,2016-04-05,2016,Patriot,Ivy League
Stony Brook,SB,NA,15,Iona,IONA,NA,4,NA,9,2016-04-05,2016,America East,MAAC
Rider,RID,NA,10,Lehigh,LEH,NA,9,NA,10,2016-04-05,2016,MAAC,Patriot
UC Davis,UCD,NA,15,San Francisco,SF,NA,3,NA,9,2016-04-05,2016,Big West,WCC
Mississippi St.,MSST,NA,14,UT Martin,UTM,NA,0,NA,9,2016-04-05,2016,SEC,OVC
Alabama A&M,AAMU,NA,6,Tennessee Tech,TNTC,NA,34,NA,9,2016-04-05,2016,SWAC,OVC
Mercer,MER,NA,5,Georgia Tech,GT,NA,6,NA,9,2016-04-05,2016,SoCon,ACC
Central Ark.,UCA,NA,4,Ark.-Pine Bluff,ARPB,NA,0,NA,9,2016-04-05,2016,Southland,SWAC
Alabama,ALA,NA,8,Alcorn,ALCN,NA,5,NA,9,2016-04-05,2016,SEC,SWAC
Alabama,ALA,NA,8,Alcorn,ALCN,NA,0,NA,7,2016-04-05,2016,SEC,SWAC
North Carolina,UNC,NA,2,UNC Asheville,UNCA,NA,3,NA,9,2016-04-06,2016,ACC,Big South
Youngstown St.,YSU,NA,4,Toledo,TOL,NA,6,NA,9,2016-04-06,2016,Horizon,MAC
Iowa,IOWA,NA,9,Milwaukee,MIL,NA,1,NA,9,2016-04-06,2016,Big Ten,Horizon
Lafayette,LC,NA,12,Penn St.,PSU,NA,20,NA,9,2016-04-06,2016,Patriot,Big Ten
Old Dominion,ODU,NA,7,William & Mary,WM,NA,1,NA,9,2016-04-06,2016,C-USA,CAA
